,Pyruvate,,,,Lactate,,,,Alanine,,,,Glycine,,,,Valine,,,,Leucine,,,,Isoleucine,,,,Succinate 1,,,,Succinate 2,,,,Succinate 3,,,,Succinate 4,,,,Proline,,,,Fumarate 1,,,,Fumarate 2,,,,Fumarate 3,,,,Methionine,,,,Serine,,,,a-kg,,,,Threonine,,,,Phenylalanine,,,,Malate 1,,,,Malate 2,,,,Aspartate,,,,Glutamate,,,,Lysine,,,,Histidine,,,,Histidine,,,,Citrate 1,,,,Citrate 2,,,,Citrate 3,,,,Tyrosine,,,,
LF12_5,66250.0,1290408.0,0.05134035126874601,,186108.0,483604.0,0.3848355265878694,,94673.0,620164.0,0.15265800659180476,,232134.0,558815.0,0.4154040245877437,,25372.0,471246.0,0.05384024479783383,,154682.0,556215.0,0.27809749826955404,,52857.0,508668.0,0.1039125716577414,,61449.0,15087.0,4.072976734937363,,11393.0,35905.0,0.31730956691268625,,1169722.0,280564.0,4.1691806504041855,,127580.0,0.0,Infinity,,2681.0,350467.0,0.007649792990495539,,554464.0,160297.0,3.4589792697305626,,2004690.0,486705.0,4.118901593367646,,222872.0,0.0,Infinity,,45619.0,580718.0,0.07855620111654882,,117961.0,928106.0,0.12709862882041492,,195340.0,450865.0,0.43325607443469777,,35688.0,484278.0,0.07369320927236009,,41908.0,616152.0,0.06801568444150145,,857735.0,309811.0,2.7685750344564912,,307327.0,795698.0,0.38623573265233796,,97464.0,477118.0,0.20427651021340631,,1385659.0,1097687.0,1.2623443659258058,,17207.0,137331.0,0.12529581813283236,,23000.0,608670.0,0.0377873067507845,,23000.0,608670.0,0.0377873067507845,,92270.0,37159.0,2.483113108533599,,35040.0,559622.0,0.06261369281407807,,211653.0,0.0,Infinity,,24409.0,504486.0,0.04838389965231939,,
LF2_0,29518.0,1304417.0,0.022629266561230037,,203059.0,485383.0,0.41834798499329395,,55752.0,635899.0,0.08767430047853511,,62220.0,604266.0,0.1029678982434888,,10643.0,491775.0,0.0216420110823039,,66836.0,581640.0,0.11490956605460423,,16270.0,530600.0,0.030663399924613643,,90795.0,22006.0,4.125920203580842,,13905.0,38723.0,0.3590889135655812,,1194131.0,286393.0,4.169553725125963,,127300.0,0.0,Infinity,,1338.0,430317.0,0.003109335675792497,,270546.0,97745.0,2.7678755946595732,,2491361.0,610722.0,4.079369991583732,,285050.0,0.0,Infinity,,22470.0,611812.0,0.03672696841513406,,49255.0,1061220.0,0.04641356174968433,,7340.0,802978.0,0.009140972729016237,,16356.0,607501.0,0.02692341247174902,,12014.0,652736.0,0.018405603490538287,,159156.0,61364.0,2.593637963626882,,126155.0,837530.0,0.15062744021109692,,37357.0,757717.0,0.049302048126147364,,78353.0,1197482.0,0.06543146368797192,,11040.0,84841.0,0.13012576466566872,,9204.0,253034.0,0.03637455835974612,,303.0,0.0,Infinity,,291584.0,116335.0,2.5064168135127005,,85879.0,968869.0,0.08863840209563935,,366436.0,0.0,Infinity,,7317.0,483848.0,0.015122517815512309,,
LF2_10,30145.0,1471692.0,0.02048322610981102,,190982.0,552188.0,0.34586408976652877,,40820.0,709930.0,0.057498626625160226,,32023.0,667522.0,0.04797295070424645,,9318.0,553785.0,0.01682602454020965,,65913.0,655029.0,0.10062607915069409,,18916.0,593901.0,0.03185042624949276,,74981.0,18078.0,4.147638013054541,,14121.0,41932.0,0.33675951540589527,,1336144.0,319655.0,4.179956515618401,,143486.0,0.0,Infinity,,1295.0,458187.0,0.002826356924137961,,382029.0,128120.0,2.9818061192631906,,2676262.0,655319.0,4.083907226862032,,302898.0,0.0,Infinity,,23929.0,669151.0,0.0357602394676239,,46303.0,1066546.0,0.04341397370577547,,21879.0,887931.0,0.02464042814137585,,13337.0,603043.0,0.022116167503809844,,13290.0,711901.0,0.018668326073428748,,319183.0,118430.0,2.6951194798615217,,148140.0,849694.0,0.17434511718336249,,135450.0,712787.0,0.1900287182566461,,435956.0,1272024.0,0.3427262378697257,,97944.0,0.0,Infinity,,324.0,0.0,Infinity,,9268.0,828210.0,0.011190398570410886,,88448.0,36669.0,2.4120646867926587,,43220.0,895054.0,0.04828758935215082,,339937.0,0.0,Infinity,,7814.0,594303.0,0.013148175257402368,,
LF2_5,27733.0,740976.0,0.037427662974239384,,116308.0,279339.0,0.4163686416862665,,24003.0,331128.0,0.07248858447488585,,33417.0,320256.0,0.10434464928057553,,5562.0,270287.0,0.020578126213987354,,42949.0,313213.0,0.1371239380230067,,12277.0,285203.0,0.04304653176859991,,57365.0,13949.0,4.112481181446698,,8926.0,21439.0,0.41634404589766316,,671601.0,160037.0,4.1965358010959966,,71357.0,0.0,Infinity,,641.0,208700.0,0.003071394345951126,,247106.0,77183.0,3.2015599289999095,,1175692.0,286384.0,4.105299178725068,,133772.0,0.0,Infinity,,13965.0,321839.0,0.043391260847815215,,29458.0,531872.0,0.055385506287227,,27517.0,369289.0,0.07451345694022839,,8541.0,295736.0,0.02888048800281332,,8897.0,351537.0,0.02530885795805278,,375178.0,137662.0,2.7253563074777354,,130770.0,442569.0,0.2954793489828705,,71864.0,336091.0,0.21382304197375115,,709730.0,636508.0,1.1150370458815915,,86947.0,0.0,Infinity,,4433.0,284151.0,0.015600860106070364,,4433.0,284151.0,0.015600860106070364,,44423.0,18294.0,2.4282824969935497,,21139.0,402312.0,0.052543796854182825,,151854.0,0.0,Infinity,,5265.0,290704.0,0.018111205900159612,,
LF3_0,24583.0,634134.0,0.038766254450952005,,104206.0,228139.0,0.45676539302793473,,28786.0,288502.0,0.09977747121337113,,54391.0,280023.0,0.19423761619581248,,7419.0,230025.0,0.03225301597652429,,36582.0,269369.0,0.13580627317917057,,9131.0,244895.0,0.03728536719818698,,35724.0,9079.0,3.9347945809009803,,6627.0,18587.0,0.3565395168666272,,553845.0,132257.0,4.1876422419985335,,58570.0,0.0,Infinity,,718.0,199029.0,0.003607514482814062,,89056.0,35889.0,2.4814288500654795,,890233.0,217796.0,4.087462579661702,,102204.0,0.0,Infinity,,12581.0,281114.0,0.044754085531136835,,33594.0,482966.0,0.06955769143169499,,5658.0,287847.0,0.019656275729814796,,11411.0,289613.0,0.03940085562457486,,9351.0,307902.0,0.03037005280901066,,38578.0,20960.0,1.8405534351145039,,70600.0,370366.0,0.19062224934254224,,15771.0,340956.0,0.04625523527962552,,55276.0,576019.0,0.09596211236087698,,169539.0,0.0,Infinity,,13352.0,228670.0,0.0583898193903879,,13352.0,228670.0,0.0583898193903879,,123287.0,49856.0,2.4728618421052633,,35375.0,360331.0,0.09817362369599063,,136876.0,0.0,Infinity,,6617.0,263079.0,0.025152140611755403,,
LF3_10,22187.0,1009997.0,0.021967391982352424,,105835.0,380983.0,0.2777945472632637,,26664.0,477714.0,0.055815822856353385,,26965.0,449421.0,0.059999421477857064,,6381.0,382554.0,0.016679998117912764,,42394.0,454222.0,0.09333321591644614,,9530.0,413257.0,0.023060710405389383,,61949.0,14912.0,4.15430525751073,,13441.0,33135.0,0.40564357929681605,,952148.0,228213.0,4.172190015468006,,100825.0,0.0,Infinity,,1130.0,292058.0,0.0038690944949290895,,275700.0,90873.0,3.033904460070648,,1587820.0,387210.0,4.100668887683685,,178781.0,0.0,Infinity,,15959.0,486583.0,0.032798104331635096,,28757.0,775027.0,0.03710451377822966,,31540.0,596484.0,0.052876523091985705,,9246.0,475742.0,0.019434903792391673,,8730.0,519504.0,0.016804490437032246,,287280.0,106788.0,2.690189908978537,,123428.0,620127.0,0.1990366489444904,,100585.0,500263.0,0.20106424020964972,,572985.0,932279.0,0.6146067861659439,,36112.0,0.0,Infinity,,6888.0,628533.0,0.010958851802530655,,6888.0,628533.0,0.010958851802530655,,157030.0,61798.0,2.541020745007929,,49556.0,655246.0,0.07562961086370615,,247657.0,0.0,Infinity,,5797.0,445725.0,0.013005777104717033,,
LF3_5,29684.0,1079937.0,0.027486788581185754,,219344.0,394532.0,0.5559599728285665,,33255.0,502251.0,0.06621191396333706,,74527.0,483416.0,0.1541674251576282,,7912.0,393435.0,0.02011005629900746,,49984.0,464872.0,0.10752207059147464,,12185.0,423807.0,0.02875129481108146,,84964.0,20434.0,4.157972007438583,,13639.0,31207.0,0.4370493799468068,,971598.0,234057.0,4.151117035593894,,103950.0,0.0,Infinity,,963.0,335598.0,0.0028695045858437773,,324379.0,101735.0,3.188470044724038,,1676535.0,408488.0,4.104245412349934,,189146.0,0.0,Infinity,,18709.0,499220.0,0.03747646328272104,,36076.0,805970.0,0.04476097125203171,,24220.0,606347.0,0.03994412440401288,,10282.0,452276.0,0.022733905845103434,,11032.0,530902.0,0.020779729592278803,,314881.0,116697.0,2.6982784476036232,,137201.0,639845.0,0.21442849440098774,,147002.0,520104.0,0.28263962592096964,,407507.0,951827.0,0.42813137261288026,,47498.0,0.0,Infinity,,8463.0,573608.0,0.014753978326662111,,8463.0,573608.0,0.014753978326662111,,172706.0,67133.0,2.5725947000729894,,49928.0,589037.0,0.08476207776421515,,223263.0,0.0,Infinity,,7244.0,445460.0,0.016261841691734388,,
LF13_0,33143.0,938512.0,0.035314412602076475,,156873.0,352718.0,0.4447547332429873,,58998.0,463272.0,0.12735067088017407,,86285.0,448615.0,0.19233641318279593,,17192.0,355481.0,0.04836264104129335,,81530.0,418999.0,0.19458280330024655,,22777.0,380067.0,0.05992890727161264,,40570.0,9991.0,4.060654589130217,,7880.0,28888.0,0.27277762392689003,,846083.0,201895.0,4.190708041308601,,89322.0,0.0,Infinity,,1802.0,263425.0,0.006840656733415583,,113783.0,48597.0,2.3413585200732556,,1420669.0,347968.0,4.082757609895163,,162992.0,0.0,Infinity,,28876.0,440841.0,0.06550207444407394,,79489.0,752942.0,0.10557121265648615,,9017.0,515483.0,0.0174923324338533,,28089.0,459575.0,0.06111951259315672,,23661.0,465456.0,0.0508340208311849,,60705.0,26315.0,2.306859205776173,,104156.0,569425.0,0.18291434341660448,,26185.0,536334.0,0.0488221891582484,,112115.0,878738.0,0.12758637955795699,,262577.0,0.0,Infinity,,27729.0,469677.0,0.05903844557004069,,27729.0,469677.0,0.05903844557004069,,135364.0,55443.0,2.4414984759121983,,46635.0,596183.0,0.07822262627414736,,227299.0,0.0,Infinity,,15457.0,375911.0,0.0411187754548284,,
LF13_10,13430.0,500698.0,0.02682255571222573,,66458.0,187124.0,0.3551548705671106,,12759.0,215106.0,0.05931494240049092,,16899.0,209455.0,0.08068081449476021,,3639.0,177825.0,0.020463939266132432,,21808.0,203551.0,0.10713776891295056,,5854.0,187132.0,0.03128273090652588,,26748.0,6582.0,4.063810391978122,,5509.0,14663.0,0.37570756325445,,450858.0,107754.0,4.184141655994209,,47712.0,0.0,Infinity,,515.0,124200.0,0.004146537842190016,,122847.0,41276.0,2.9762331621281133,,805515.0,194537.0,4.140677608886741,,90371.0,0.0,Infinity,,9041.0,218065.0,0.04146011510329489,,15907.0,367034.0,0.04333930916481852,,11258.0,271422.0,0.041477846305752665,,4950.0,214864.0,0.023037828579938937,,5030.0,238112.0,0.021124512834296467,,131137.0,48488.0,2.7045248308859926,,55131.0,296241.0,0.1861018562589243,,54774.0,248502.0,0.2204167370886351,,219537.0,425391.0,0.5160828508360543,,20412.0,0.0,Infinity,,3117.0,249047.0,0.012515709886085758,,3117.0,249047.0,0.012515709886085758,,84672.0,33023.0,2.5640311298186114,,24831.0,323013.0,0.07687306702826202,,122601.0,0.0,Infinity,,3178.0,201246.0,0.015791618218498754,,
LF13_5,33910.0,981076.0,0.03456409085534658,,135367.0,378976.0,0.35719148442117704,,34386.0,490668.0,0.07007997260877008,,41151.0,474861.0,0.08665904338322161,,8507.0,375726.0,0.0226414993905133,,61855.0,442762.0,0.1397025941702314,,14191.0,403472.0,0.03517220525835746,,70762.0,17130.0,4.130881494454174,,11548.0,29465.0,0.39192262005769557,,927480.0,221515.0,4.186985080017155,,97389.0,0.0,Infinity,,1339.0,296328.0,0.004518641505358927,,229243.0,80213.0,2.857928265991797,,1688276.0,413817.0,4.079764726920354,,192161.0,0.0,Infinity,,24250.0,481249.0,0.050389715095511885,,41484.0,802212.0,0.05171201627499963,,12602.0,610545.0,0.02064057522377548,,11592.0,440003.0,0.0263452749185801,,14718.0,504140.0,0.029194271432538582,,290913.0,109668.0,2.652669876354087,,128627.0,614088.0,0.20946020765753443,,136831.0,551332.0,0.2481825832710599,,388853.0,937750.0,0.41466595574513465,,36055.0,0.0,Infinity,,10846.0,652606.0,0.016619522345795164,,10846.0,652606.0,0.016619522345795164,,195871.0,76377.0,2.5645285884494022,,55516.0,631044.0,0.08797484802961442,,240392.0,0.0,Infinity,,8216.0,413847.0,0.019852747512969768,,
