Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
41597,2166921,120396,27535,15198,722865,54045,859250,307536,888764,32116,0,19584,681040,81012,805127,24633,735176,48223,21805,21777,93853,1584212,383219,172631,0,2788,488527,127837,126251,3051690,761763,399854,0,28942,761852,84784,1305733,82,390,311,0,192024,0,26449,697338,20184,779891,67265,30945,126194,759791,17642,668788,97859,1187806,735974,0,1868,0,1123,785,878,0,285564,0,11893,576125,
438019,1900662,147751,33899,17954,695965,32666,814919,170578,837840,3531,0,6558,660045,26261,786256,8496,719392,166953,35643,35629,89239,1759893,425209,195350,0,2299,435001,163270,146302,3245750,810968,445478,0,17904,775721,39741,1263512,1206,721,290,0,230666,0,7414,659432,6778,811035,91504,42779,134882,864969,5258,651455,16880,1239601,18062,0,2465,0,15527,7053,11513,236804,92064,0,5103,646752,
505368,2746061,193968,44250,23958,984004,48853,1181270,152765,1142619,3831,0,13453,910258,66230,1086697,17523,1001182,77872,37131,37131,146460,2289250,556835,252573,0,2812,543178,166971,168778,3668868,915042,488522,0,32615,1076518,65965,1742878,279,133,315,0,251378,0,19345,984675,16963,1098686,94127,50015,141153,967929,8286,838939,37779,1651581,47432,0,2189,0,32380,14374,17301,347607,135996,0,10238,920061,
37835,2070116,176989,40171,20563,753683,56294,905655,87613,1045070,15292,0,14224,708118,69115,844573,18473,769509,138566,51953,51899,181134,1613981,392349,172385,0,2306,549518,84131,143628,3751473,935999,475621,0,28886,859424,61613,1436852,132,463,378,0,119422,0,17436,658791,15986,869895,21536,13822,94407,649959,15199,762521,86607,1369773,981303,0,477,0,58113,25091,35830,672367,256337,0,9065,649409,
255260,1592058,91484,20941,12447,665906,21776,789998,46730,868675,1193,0,5267,605833,29223,724669,9225,664870,132730,46806,46781,143109,1697094,411689,182633,0,1175,348955,380800,193950,3018376,748953,399238,0,15282,619915,29590,1197413,76,282,50,0,72774,0,6733,578865,7153,752660,249885,97821,115255,528203,3808,539502,14364,1063676,32769,0,521,52687,6837,2950,3540,68398,26847,0,4571,592788,
21916,125319,21028,4796,2308,54921,2042,45617,19011,41440,135,0,484,38211,2540,42731,578,39998,8948,2769,2744,3781,63610,15031,6797,0,76,3857,6784,3604,81702,19767,10129,0,872,30453,2313,57348,62,104,106,160,197,0,630,37573,507,35999,2024,768,796,3537,37,2516,233,5416,8832,0,0,0,311,199,222,247,45,0,129,10135,
1254,0,108823,24783,13445,563387,44888,710438,106587,761047,16570,0,13032,564805,44471,675294,14942,613125,45791,15263,15189,55225,1321029,318677,140748,0,133,55225,69798,71585,2292745,569229,293106,0,18322,636697,45972,1096269,6568,2019,226,0,370130,0,10256,421125,9533,676734,41644,25344,123464,769259,13424,648001,98400,1113994,509784,0,27046,706235,128026,51129,1032,0,273024,0,7405,530633,
433143,2019754,140219,32312,17232,665551,30338,813745,213962,828037,4089,0,6275,643106,44866,773268,7045,709186,80257,22112,22112,69463,1625074,391881,174540,0,687,69463,117602,96633,2592072,644943,338590,0,19732,777261,32008,1229176,4952,1637,50,0,418980,0,6200,599506,6223,789113,79247,36975,120823,857675,5667,687090,26043,1292904,8741,0,5864,836629,47468,21206,406,0,193044,0,4608,650108,
505291,1808442,168829,38492,19399,591886,22608,724207,686251,759996,6814,0,5387,573536,29356,684452,6339,626997,66957,20218,20200,60668,1440636,346166,154473,0,85,60668,94809,83446,2281381,565939,296516,0,15698,682149,21152,1075120,3843,1268,68,0,345365,0,4712,475341,4660,694856,71962,31586,95192,730520,3558,573277,20435,1097329,17443,0,4272,657707,43543,18764,408,0,161819,0,3688,566488,
50479,1724698,127757,29016,15322,602941,58902,769871,76063,816903,18460,0,18140,602263,75411,719223,22322,655995,44043,16430,16398,65099,1416490,341252,150073,0,190,65099,98193,91101,2544771,632050,330104,0,23934,671030,64563,1157296,5678,1774,273,0,252934,0,15983,486844,14501,706464,66237,32943,140026,759066,10408,613011,96139,1103662,626891,0,28891,575388,106613,43057,1194,0,242672,0,10283,545868,
268230,1805368,253720,57516,27641,602977,24182,732876,2539414,840505,3035,0,6164,579718,37942,696807,9696,636779,80802,22705,22691,68117,1444331,346824,154931,0,112,68117,311879,146785,2227889,549812,303925,0,17536,693978,28806,1084962,7337,2175,89,0,252033,0,5654,488405,5639,722920,362277,135438,140139,739423,8277,573857,17797,1085007,9309,0,3234,448149,33116,13604,491,0,113472,0,4282,562926,
304037,2153640,151466,34789,18730,741744,32851,878010,107905,833490,2356,0,9690,700510,55942,830980,13600,764510,81628,27111,27082,78973,1742939,419998,188259,0,337,78973,318231,159935,2989671,748208,391644,0,23181,789402,39021,1270665,3715,1582,127,0,247072,0,10174,667032,9108,810115,381626,150532,171605,784392,6178,593968,22621,1140306,25249,0,3702,400793,41539,17171,453,0,113262,0,5588,620904,
53057,1962961,160846,36515,18840,663520,84438,805277,127536,766114,48738,0,28871,640712,93859,760185,31413,694285,46010,16157,16104,61819,1444247,346765,153091,0,193,61819,66224,72559,2376133,587511,299160,0,32094,666915,88309,1194109,5987,1868,398,0,317084,0,30821,632792,22308,696538,44462,27741,137141,800166,23318,570919,133432,932749,810724,0,15968,324609,98257,40391,797,0,278406,0,10503,389900,
32088,1815268,204130,47198,24147,602298,35636,699615,3570619,723288,7361,0,10323,561260,45634,666503,11037,612586,73675,22026,22026,60371,1414075,340057,153141,0,99,60371,83617,79837,1888533,468347,253886,0,19957,660333,36206,1004435,5344,2480,114,0,355753,0,8705,468493,8954,681057,54141,28646,97231,761546,5002,553606,43893,1071109,17522,0,8498,715374,19382,11016,490,0,147708,0,6366,528856,
707895,1749916,226645,51628,25156,626338,55386,751566,5725946,789083,13245,0,15031,595446,63695,713596,15607,648693,95346,25957,25957,69307,1517132,367110,165117,0,146,69307,124379,93887,1825398,451617,253330,0,24581,730201,50528,1159166,5282,2429,161,0,380288,0,12579,513813,11047,749306,130818,54784,131696,866011,9181,677774,58675,1256056,31409,0,12804,807739,53193,22806,634,0,182234,0,7434,580640,
46630,1730345,102567,23432,12905,598068,59292,763361,81332,884750,16943,0,16957,599755,64424,718349,19287,653231,52108,19397,19329,68586,1396274,336802,148160,0,117,68586,102726,100512,2692171,671057,351728,0,23457,659334,57260,1148363,3901,1296,190,0,262925,0,12280,390704,13739,708671,72127,39706,143337,766574,14795,642021,99962,1132062,867111,0,23483,555444,118059,47566,1119,0,267742,0,10361,552122,
262880,2118452,129562,29868,16406,704262,29018,841689,1008932,836233,2789,0,6907,661875,41127,788691,9175,725830,78134,23976,23976,69478,1662607,401120,179098,0,193,69478,259451,132422,2760266,687926,357280,0,19002,741299,28747,1210182,3177,1148,233,0,250784,0,7052,613301,5793,762398,350178,134857,154234,796518,8711,606166,19562,1148110,10893,0,2868,376397,26587,11368,368,0,111424,0,4318,591793,
445562,2013601,224801,51353,25393,687645,48247,841779,2471028,925675,5111,0,9123,653252,51339,778051,11791,716072,141256,35322,35295,86707,1647722,399597,178354,0,100,86707,343746,169082,2191906,545960,307624,0,22944,791295,43949,1261122,4424,1505,209,0,300727,0,9664,614624,8747,834887,579996,224031,217519,904210,9019,707213,26845,1335979,21891,0,5644,572236,54421,22714,559,0,143237,0,5744,636996,
39687,1618980,142595,32318,16500,554578,28331,679520,183501,767633,19521,0,8472,540725,41011,643182,9902,583267,36117,14516,14422,55205,1254791,303130,134198,0,187,0,75809,78300,2482172,615524,318607,0,15867,583105,36980,1024194,2781,999,290,0,306136,0,6864,336201,8543,622646,41597,21062,109369,711790,8899,591937,50590,991969,823114,0,13271,496476,71637,30099,34827,688187,266512,0,5901,472496,
1580879,2306046,176171,40160,20875,731581,41522,875464,850817,913252,7719,0,11278,683763,54320,789885,10902,736954,62115,23544,23508,73045,1748358,423784,192339,0,151,0,186458,119519,3167898,785959,405630,0,22497,801913,48863,1309003,3331,1254,233,0,339180,0,11088,511794,11175,819791,214819,84039,148850,983867,2876,656587,16292,1326002,14661,0,7418,793952,44789,19607,26873,555785,214334,0,6715,670243,
382437,1325442,134392,30655,16282,615034,18782,764284,2618841,870520,6498,0,5081,601773,27855,719816,6942,661698,67324,22549,22531,75408,1702709,410808,181660,0,251,0,120718,92062,2245649,555053,301700,0,12585,557039,22507,1124809,1825,980,266,0,300369,0,3774,386307,5377,725636,104555,41717,96312,795102,2759,611633,14180,1144643,25584,0,3462,592308,36405,15306,19154,390408,149093,0,3726,549990,
57110,1771686,250400,56451,26691,608607,71797,656388,5482585,875114,18664,0,25297,551747,82006,650007,31194,591786,117901,33044,33019,78156,1374686,330432,147691,0,219,0,73034,95668,2539112,632502,337255,0,30174,650800,89375,1106791,3571,1230,313,0,236351,0,22275,412910,21700,684686,27529,16238,108543,696316,24093,627750,114114,1088136,983241,0,1320,0,77390,33200,41246,697424,264943,0,12949,468520,
576528,2025933,220561,50067,24930,690461,35423,815918,1398128,905779,3609,0,7815,644857,43291,763551,9648,706789,98897,28222,28211,81269,1647109,396726,177547,0,80,81269,435854,191720,2705860,670877,364387,0,20058,776659,28440,1187900,2131,850,96,0,285231,0,6835,489284,7231,798546,669170,246407,214531,853419,6600,604860,26869,1230169,16989,0,3779,448473,30987,13278,16478,306430,116620,0,5439,621873,
370626,2059791,291073,65976,31661,726378,45674,891020,118549,934983,1608,0,16222,703776,75636,843916,21038,773694,119255,36901,36862,94461,1761301,424209,190527,0,147,94461,346818,177493,3178942,792963,419458,0,30284,841689,57220,1317295,2484,1133,126,0,226267,0,14534,570977,16119,867241,461872,174618,182928,782041,8135,642239,28031,1265080,36019,0,5074,344142,31450,13530,15906,274326,104521,0,10063,690738,
106267,1951420,167684,38022,19394,653114,102419,754843,231637,700773,23685,0,30390,600999,129312,711242,33152,648036,59696,16297,16266,56060,1360644,326216,149711,0,473,56060,64850,57263,1760389,433431,219112,0,36311,609786,98238,1088499,7729,2346,357,0,253315,0,37921,641621,27128,629655,61929,33826,129631,711698,26257,498384,110115,846309,767191,0,19336,313051,50677,21206,25450,454397,173658,0,12404,354502,
251862,1699262,103799,23857,13302,601604,39945,715289,770815,694050,3537,0,11602,571047,56947,685017,12566,627761,52509,19709,19699,65674,1456425,350046,163080,0,156,65674,86189,77752,1863603,460734,241263,0,21436,672396,48678,1042898,6634,2019,102,0,310540,0,12767,591653,9818,681830,48841,26536,93202,730427,5448,554265,25866,1054811,14045,0,10531,753504,34835,14594,17580,342581,130876,0,6709,578641,
965256,2422692,218265,49970,25165,785404,82446,922245,2788336,899820,23158,0,24431,725020,107543,868577,27566,790132,84663,28868,28868,89410,1826063,442463,197132,0,2995,89410,103336,90925,1839827,456887,245368,0,37550,869965,89867,1375156,14956,5026,616,0,411960,0,28716,792956,20123,877939,130306,59240,140319,980814,6816,724125,44255,1344128,27436,0,25631,1101887,70736,29858,30062,524619,203475,0,11939,725677,
78866,1549064,159593,36316,18069,536219,59571,635548,1103053,693008,13982,0,16609,498573,62600,591871,18254,537789,67941,17998,17941,54304,1197339,288152,128361,0,158,54304,69163,62823,1628246,403507,213275,0,23414,569468,56888,978415,4945,1577,1874,19377,276416,0,16013,461671,15538,592461,59179,32853,126087,671143,18143,562890,94442,958937,515541,0,30804,590419,64345,26852,30723,512596,195533,0,11008,459089,
938877,2116954,177438,40577,20839,696737,32741,811118,583111,766710,6607,0,8091,637659,47656,756384,9074,694665,78325,25569,25544,71397,1629535,394367,175338,0,275,71397,113220,84239,2169773,536045,279484,0,19207,732937,34042,1172748,5533,1854,3178,23668,332926,0,9073,637217,6640,748806,119294,50969,121584,815879,4025,602521,18692,1137892,15975,0,5727,642805,29236,12555,16278,342287,131570,0,4998,612715,
101332,217778,47041,10662,4911,74566,4139,81863,175183,79563,1043,0,1178,66045,5389,76172,1267,71306,8120,2525,2507,6001,139892,33185,14901,0,133,0,6129,4729,111729,27274,14746,0,1944,65674,4392,114521,505,0,432,1200,10400,0,1044,56583,960,74392,6461,2659,6752,44752,200,29256,1095,52087,6872,0,32,46,1662,711,738,13771,5504,0,679,50449,
1288,0,180230,40830,20529,665031,50526,796268,710986,867846,16992,0,12260,621441,74327,743252,15680,674498,88190,26469,26387,72890,1502898,361329,160785,0,231,0,73354,86330,2851356,711621,365353,0,26799,743942,63224,1256645,4192,1411,2012,24363,392742,0,15367,562853,15960,760360,26829,15738,116762,834969,14375,766414,94841,1283379,860282,0,154,0,78224,33092,43706,778238,306121,0,9566,581072,
397192,2091856,161263,36720,19366,717790,36905,825722,885464,742851,4872,0,8252,666854,49978,793274,11383,731895,54395,22594,22594,65455,1681868,404213,187815,0,172,0,72286,71779,2796021,693311,385419,0,21642,748602,41305,1186153,2040,838,2007,19031,321361,0,11471,674225,10255,778313,51014,22925,96278,803387,3077,559371,16357,1111681,16950,0,64,0,24966,11057,15686,361735,139124,0,5738,571506,
437040,2088271,168976,38519,20113,727369,43883,873234,291569,872056,3690,0,11034,686378,80811,821282,15539,750756,81861,27800,27783,80504,1751901,424216,191762,0,144,0,109417,95170,2668505,662149,340874,0,31546,828085,58489,1305624,4117,1550,2237,25456,427608,0,13512,643944,17307,837494,71158,32364,104719,861433,5841,708652,32231,1310196,23889,0,1947,0,44869,18660,21355,428241,164252,0,9969,678021,
78405,1804626,135704,30803,16082,610268,119277,750903,83038,780908,11818,0,32220,588040,122675,707074,40799,638703,59132,17449,17371,58065,1426689,344759,150232,0,4662,446011,70744,70456,2280896,565307,285655,0,40894,690177,112173,1167812,6343,2008,2680,27388,416483,0,25439,446660,32113,714179,58043,30489,160842,848675,45108,694598,96814,1165857,17747,168537,43002,744253,27126,15170,36547,756686,288951,0,19675,576139,
228938,2026973,160491,36795,19455,713503,28510,829759,30324,817725,3015,0,9283,664346,42346,797292,14203,730434,46673,19401,19372,72362,1707828,411364,184994,0,875,334565,75589,84605,2606713,647657,331689,0,21820,787067,37115,1215637,5216,1721,3346,30858,510796,0,8892,592675,9184,799704,48026,32346,115540,902855,4839,698946,26873,1265517,4628,204802,9837,991269,30576,14967,28161,624219,238797,0,6695,678886,
437917,2107151,215350,49131,24503,706045,46940,830233,41573,814086,6810,0,14381,655997,65898,783441,19860,720610,66646,22798,22755,73367,1720643,415082,185463,0,1109,327676,91562,88501,2656667,659048,334182,0,27466,785663,53604,1238560,6410,2040,3230,32009,476072,0,13537,592192,14059,804617,69781,36028,140870,912462,4864,675884,47906,1286068,7924,223859,17552,956546,64105,27666,32275,607471,237959,0,9536,680602,
414,0,23015,5288,2924,120641,6553,107702,7931,116076,3432,0,2473,108781,10967,124889,2762,115408,9675,3155,3141,9928,239193,56603,25473,0,206,73661,6874,7933,292020,70793,36076,0,3410,108606,8091,194353,608,313,380,1768,20458,0,1798,71024,1965,126728,4710,2635,17349,96714,893,77812,10992,138412,150296,0,837,19879,12327,5131,5317,81486,31694,0,1468,96453,
296205,1748076,110032,25316,13958,602204,20444,670601,51208,697062,3873,0,5115,551890,31956,655355,6919,603028,64969,22138,22120,67874,1437255,345569,154128,0,511,306307,59245,64227,2010990,496432,257734,0,15441,645649,21506,1012311,2427,925,1867,17394,263018,0,4549,435679,4716,666130,40409,21830,102164,680801,2197,503135,14676,972715,6892,0,2834,403332,21969,10257,14736,317440,124106,0,3672,556013,
200868,1438468,84884,19616,11009,506532,21655,593285,23023,585328,3876,0,5881,466948,31658,557812,8129,512300,57027,19749,19727,62272,1191725,286877,126653,0,715,245340,48691,55336,1483624,364782,190535,0,14513,540487,23811,847674,2038,811,1951,14201,204697,0,6150,418604,5517,562009,30885,18821,75279,534697,2191,406009,14588,793924,14352,0,4221,330543,26461,12290,14773,267275,104607,0,3873,475177,
70665,1734391,107795,24654,13353,592385,82032,715457,78810,778271,12336,0,20414,564135,102059,675838,24596,612932,52321,17664,17561,59446,1349701,325978,147172,0,2835,417333,70700,71726,2240431,555479,284284,0,33767,648360,83761,1107478,6048,1862,2792,24519,337398,0,16056,374701,22189,668648,60837,35208,161921,760265,24801,620115,120919,1072747,697755,0,33808,656376,105106,43946,48374,699288,268582,0,14185,524949,
301560,2229786,121954,28270,16077,760284,30489,879894,37970,862675,3471,0,8518,697180,47082,833574,9102,765228,67168,25362,25309,82080,1841738,447191,199455,0,941,327982,114945,105747,2785741,691653,357563,0,22043,842274,30220,1323568,8464,2599,4263,34208,527399,0,8231,684565,7184,847187,77026,46863,143139,984691,5824,744741,33497,1391798,17294,0,9390,1103907,31579,15173,27157,600208,230736,0,5540,710562,
378495,2042122,325082,73914,34583,640331,33403,729396,29285,638013,8454,0,11154,595403,43690,704431,16236,660571,63885,35410,35400,76774,1558959,377437,168016,0,1913,379297,61922,63367,1831690,452641,238388,0,21872,697539,38158,998361,9366,3407,10821,60805,139903,0,7912,429168,10585,736445,45459,24138,122513,639330,1823,396640,20022,957894,54727,0,10884,787844,46350,22350,28752,386769,152770,0,7243,647508,
40378,1760665,142217,32407,16710,602583,35743,743294,49909,831597,10046,0,9127,583739,56132,697596,11074,633504,72104,21744,21588,66235,1414602,341242,148754,0,1450,450457,62899,64670,2260491,559595,283767,0,18678,678251,40096,1149412,6522,2006,2416,23983,320856,0,6808,374879,8412,695688,48437,25783,149107,794717,5191,660484,60886,1128883,803016,0,24256,683468,113027,46294,45484,613599,239031,0,6960,552028,
333643,2046911,92514,21284,12845,715478,18980,857682,29811,844626,2860,0,5308,674606,36445,806783,8544,739033,73452,25846,25825,83048,1707537,415613,185416,0,767,377638,78124,74763,2235083,552757,281633,0,18261,795657,26106,1237689,4873,1583,2613,23224,326793,0,5368,579392,5592,816913,52310,28091,112544,830344,1925,632061,12237,1171638,9422,0,3546,588025,24750,11074,16929,383952,147809,0,3910,667168,
352711,1582662,347404,78374,36135,544535,17271,624718,45066,659105,3073,0,4977,503409,23033,598361,7758,552764,85049,25571,25532,65264,1329581,319559,142092,0,1591,302551,57848,55248,1672159,411844,214010,0,13181,585026,35394,926084,1585,662,1415,15734,237993,0,3687,376347,4903,618346,41871,19993,91837,599522,3532,456497,13177,896975,17148,0,4646,337339,28672,12565,13921,265656,103198,0,3995,506173,
52345,1864155,149497,33908,17490,630278,56719,760277,64339,823951,17178,0,17002,601529,68399,716295,18912,649580,51100,17612,17541,62191,1456624,352426,159437,0,2055,428844,55771,70231,2744532,681202,342077,0,25692,689581,62360,1163774,4918,1564,2560,29683,419430,0,12964,400288,16775,719737,34259,18816,140804,837338,16690,699774,98460,1172781,697798,0,31548,763835,82908,36679,45830,723862,278738,0,11338,571011,
498295,2233810,128543,29474,16506,749966,33646,869346,33242,840664,6137,0,8207,682841,51662,809542,10578,746126,57889,22719,22694,81588,1740501,422240,189048,0,1046,336562,90552,90251,2663366,659560,333681,0,22791,801498,35400,1275794,2849,1065,2719,26114,396378,0,9166,641613,8776,819593,76373,37123,140839,892742,3678,668837,25965,1284218,12283,0,7649,823725,44342,19347,25366,480995,187063,0,6552,674205,
525247,1997240,115260,26552,14719,656905,31055,773367,36862,763868,8129,0,9361,615371,48231,728324,10945,671941,81288,25418,25390,74266,1627022,392115,174191,0,679,289982,102436,89648,2574452,636600,326497,0,21435,748517,36332,1168828,2603,1204,2489,28028,428085,0,9188,558730,9061,752689,87904,40836,136950,862888,3831,625439,27695,1222632,20728,0,9627,783156,64344,27036,27700,470097,183063,0,6591,638548,
54856,2051150,126165,28502,14980,664979,56146,779813,63372,752369,18045,0,11410,619963,61403,734405,14169,671293,152071,40377,40309,73612,1455704,348761,166401,0,1626,541706,59831,63150,2850368,706959,387783,0,20741,662311,43923,1171182,2335,958,2026,23689,305010,0,14684,617206,10321,687645,23726,11651,101783,761219,10882,586697,55773,890830,1182836,0,3165,111149,114679,46832,49891,761662,290581,0,3531,277289,
15287,574438,46576,10640,5492,194074,15260,220981,17061,203520,4896,0,3303,182612,17796,213631,4315,199009,36473,9870,9841,18940,375713,89444,39557,0,461,157833,11629,13774,584356,141883,70661,0,5691,182016,12376,344082,465,0,431,2407,29136,0,4416,184929,3131,205493,4849,2330,20610,155903,2661,136752,14272,232693,290396,0,838,23909,23844,9737,10055,160907,61242,0,1581,125756,
141794,1641244,131981,29927,15860,585306,17550,683245,25163,773961,563,0,4185,545650,27638,654705,8653,596023,100763,29201,29183,70637,1439404,346801,155042,0,893,292831,217474,110290,2794205,693866,351215,0,15664,651079,22083,1025285,1771,774,1842,16921,288122,0,3655,377966,6021,658447,237955,91422,122235,696086,3431,564985,12415,1009906,12991,0,2528,377228,35603,14904,17494,315164,120096,0,4090,541447,
462499,1867127,113587,25904,14264,640313,29079,743018,27397,819964,1478,0,6291,590175,39983,701172,11616,644466,144519,37867,37846,85099,1546570,373170,164662,0,613,346341,340767,137037,2488697,614828,309506,0,19103,694921,27367,1102734,1853,814,1761,18792,298847,0,5538,413117,8340,708516,601640,219322,182979,755710,5221,581218,22107,1110359,62658,0,4400,496742,57602,23650,25557,460367,175985,0,5686,615723,
56720,1659663,249677,56506,27031,589663,47993,656017,63517,686485,8942,0,15898,549503,59786,648587,18135,592552,42564,14019,13990,51373,1341299,322362,144295,0,2053,360337,49034,57555,2232097,552907,271813,0,21378,607678,54184,1043032,8365,2535,3099,27691,380000,0,14259,482777,13501,645341,39321,24584,144695,776768,11865,612649,96911,1019944,420115,0,28174,603695,90653,37866,44368,717653,275587,0,9186,500709,
210345,1740833,186558,42376,21275,601670,26958,714041,32413,684572,2580,0,7360,565721,39122,680599,8904,622287,49514,19504,19451,57076,1467008,354550,158269,0,994,285380,64028,66999,2253415,558502,280220,0,17547,652631,31812,1020385,7552,2331,4212,30751,486166,0,6779,482359,6898,662250,41015,24583,100759,769648,4007,569759,21770,1048149,9069,0,7932,858623,45259,21610,29195,579375,225590,0,4759,551251,
415288,2452471,186410,42772,21733,673897,35510,808807,875100,713384,6330,0,9062,663136,31771,794804,10752,731501,74518,50517,50481,77432,1630126,392708,174565,0,1567,381855,64505,72400,2297622,569347,287237,0,18417,775850,34424,1105629,9845,3418,10070,54824,157355,0,7152,562614,6665,797597,52305,28105,178940,738266,1446,428396,18962,1080389,17658,0,10941,1021379,58367,29445,32605,507786,204071,0,4679,641873,
23562,687060,103567,23475,11311,255296,17736,255483,468722,302103,2251,0,4853,221660,20837,255387,5196,233445,22155,6892,6856,21862,550184,131186,58543,0,769,150905,23924,24366,840852,206079,103598,0,8086,237906,19441,417461,2228,769,1070,8977,112443,0,3669,149358,4323,267402,22596,12116,56722,292681,3689,227825,27204,393237,327849,0,7443,156206,51306,20901,20370,278475,106270,0,3448,219543,
791667,1932825,113111,25959,14177,592206,25668,681709,29178,675390,4578,0,7423,534268,34349,604608,9062,571810,50799,18998,18988,54213,1397535,337529,150692,0,593,330968,72757,59051,1717169,423115,215178,0,14861,583257,37900,965261,8736,2649,3569,25924,202146,0,6297,370060,5652,596087,78814,35693,137153,728144,1374,448859,9523,779492,16861,0,6009,688671,40217,18350,23967,539750,208175,0,4192,531463,
516892,1994042,207341,47132,23450,655827,32904,762635,2429889,797646,8641,0,6669,601553,38375,714222,8290,657241,83830,24315,24269,63976,1569063,379522,169397,0,1561,357847,66570,64914,1931569,476404,244023,0,17005,692951,33260,1075653,7338,2380,4105,42337,486817,0,6093,455532,5773,710675,57930,27902,132885,852041,3116,566550,19936,1105179,16037,0,6219,831477,46046,20716,27070,577519,223885,0,4018,565570,
74947,2074388,149004,34038,18164,702649,84241,800448,85554,687194,26851,0,32095,653932,102671,773662,35947,709595,51902,17482,17430,57254,1597773,383307,173296,0,4350,517760,58230,65788,2698218,654339,329511,0,30718,647638,95580,1170562,11771,3392,3148,29114,457505,0,36234,714913,22729,683885,49371,27402,187887,929549,16595,592298,125415,955843,372184,0,20447,330504,150781,60724,56268,787023,303679,0,10497,365790,
137235,1692772,72386,16892,10251,565911,26891,656129,27960,635090,1680,0,9032,525394,34600,628633,9979,577416,51517,17298,17269,54427,1380977,334220,148583,0,1089,271667,71336,67984,2143510,528745,265995,0,16646,604837,27114,956507,4347,1455,2889,25366,448208,0,7177,478012,6303,617876,45067,24779,95052,716946,6550,551635,33564,986516,10427,0,8256,725986,35920,16263,24401,529917,203238,0,5341,515141,
966768,2199537,169787,39079,20293,739696,43884,905114,48851,866602,9009,0,15327,715871,48441,852535,16594,783391,75970,22525,22465,76283,1816839,439343,195339,0,1906,427430,102012,88959,2719624,675517,332489,0,23730,841017,55222,1345509,6704,2546,4089,46324,514302,0,14037,658231,10414,851065,144695,59989,160737,991223,6182,708529,45779,1341540,16461,0,19938,1060436,74245,32362,38396,747424,289540,0,8180,718435,
93957,2200156,134875,30819,16928,764378,87903,947056,90887,980835,10230,0,22952,746097,97149,885034,27800,807359,53109,18164,18082,70532,1740275,421739,185484,0,2254,582638,83892,81557,3008713,748286,368865,0,32050,813588,80643,1405636,13306,3831,4237,37219,511661,0,16684,511222,20811,836824,69810,36977,189569,998471,13558,772560,119084,1283551,1079411,0,33327,659257,167120,67275,64021,866422,333200,0,12633,584922,
163822,1616567,118135,27148,14494,563480,18165,643056,801541,671943,3163,0,5370,518209,27281,618790,7231,564961,50984,19014,19014,55228,1355256,325882,145108,0,544,260004,53261,60088,2005556,494820,251138,0,14131,596993,24666,935865,3389,1165,2440,25560,379330,0,4695,437736,4560,607228,31165,19326,97273,683715,3183,513520,19497,940665,17160,0,4743,596981,37096,16785,22319,447528,173823,0,3911,510510,
339726,1503184,136608,31195,16027,535633,14066,575004,21298,566456,3572,0,4920,494930,23462,586725,7664,539716,48809,17632,17618,51728,1331466,321896,143499,0,876,339597,45121,47538,1660168,408396,205346,0,14013,595870,21787,908735,5106,2067,2852,26410,390532,0,3687,342288,4836,625161,40191,18383,83893,664814,2522,508337,18183,945330,43198,0,7735,613367,46939,21060,24346,498317,193130,0,4247,546434,
52251,1546127,134625,30767,15812,548620,60660,676118,696345,734429,27004,0,17177,528318,81694,628387,18980,570836,52379,15988,15956,49053,1253964,302580,136029,0,2823,437302,40534,54462,2216739,549022,273234,0,26951,572658,67288,975510,6115,1928,3411,31744,418374,0,12348,311076,18240,600763,16049,11838,108006,692174,14498,580241,77651,962954,618104,0,24999,603515,96127,40313,45632,678716,259766,0,11051,467790,
75833,462028,44634,10196,5293,160653,2763,111868,3052,75033,2220,0,959,120253,3907,136354,1022,126982,8380,3547,3517,11683,333317,78728,34852,0,398,49077,8868,10458,476432,115512,55924,0,2417,113350,3528,194781,453,0,476,2507,44403,0,1042,121303,816,131295,7403,3376,15795,134457,456,79612,2033,132576,3825,0,0,0,3646,1790,2914,69571,27047,0,536,84627,
1914520,2371153,142538,32792,17800,739818,31234,821070,741006,790004,11100,0,10080,675558,37562,799526,10774,737225,82980,41130,41066,78422,1721043,416504,185083,0,1888,410141,132688,86842,2157012,532194,263700,0,20239,804239,41856,1205396,9063,3126,6963,52498,222085,0,9442,582653,8046,811132,245285,94662,263892,991431,1029,571454,4734,1005696,16929,0,12329,1004708,110281,46252,49526,891989,351571,0,5914,678884,
48388,1855658,137196,31398,16426,642717,58371,770115,60873,813225,15734,0,17612,618375,81522,734618,21217,671332,55919,19503,19343,66677,1473483,355503,158346,0,1405,456304,64259,72760,2570569,638209,320021,0,27343,706946,61400,1186290,8156,2397,2826,26921,365866,0,15160,482150,17188,733658,39536,22092,158521,820001,10625,692675,94334,1169523,801798,0,32712,662176,87184,37311,45960,726429,278143,0,11410,578271,
