Pyruvate, ,Lactate 1, ,Lactate 2, ,Alanine, ,Glycine, ,BHB, ,Valine, ,Leucine, ,Isoleucine, ,Succinate 1, ,Succinate 2, ,Succinate 3, ,Succinate 4, ,Proline, ,Fumarate 1, ,Fumarate 2, ,Fumarate 3, ,Methionine, ,Serine, ,a-Kg 1, ,a-Kg 2, ,a-Kg 3, ,Threonine, ,Phenylalanine, ,Malate 1, ,Malate 2, ,Aspartate, ,Glutamate, ,Lysine, ,Histidine, ,Citrate 1, ,Citrate 2, ,Citrate 3, ,Tyrosine, ,
8170,36885,2594,593,291,5147,3,2,0,0,795,0,0,0,2,0,0,0,162,0,155,246,1215,472,333,0,0,0,830,362,4438,1077,608,0,0,0,109,0,40,140,61,92,45,0,76,0,39,83,56,86,38,37,78,0,8,0,6,3,25,32,226,118,176,70,87,0,9,16,
217564,1099809,126032,28695,14127,357356,17974,384176,58330,392357,5658,0,7073,306677,27116,363375,10588,335186,117219,28800,857,0,833105,199141,88351,0,1627,163216,143638,61889,1357960,333631,161625,0,11379,339566,27385,547544,118,103,182,0,51219,0,89,0,5934,354268,105719,42633,64363,177164,1231,196482,3231,420517,2250,63632,35,0,286,132,330,0,8364,0,3426,290219,
58771,1222459,115605,26218,12921,311664,61709,435774,72889,477996,13216,0,27145,330793,64022,387047,32316,355972,60141,15948,827,0,676428,162862,71869,0,5536,214444,29371,30748,1000336,246567,121862,0,22384,359686,76511,617094,96,231,204,59,10277,0,22306,284101,19204,390150,1354,2015,4902,12492,6313,161298,60787,571870,11369,86498,258,0,849,590,713,443,11310,0,14341,344842,
14608,117908,3334,766,374,7527,3,6,0,0,1107,0,2,0,1,0,0,0,1138,250,529,467,2265,628,317,0,248,222,962,531,6620,1609,928,0,0,0,21,30,59,60,35,51,108,0,41,94,54,51,118,50,26,37,1,1,1,1,40,5,86,99,174,112,141,91,130,0,11,12,
64181,321178,53196,12048,5739,102792,3713,80499,5981,73474,1265,0,2093,79777,5577,90701,2438,83880,13925,4949,246,0,214500,50804,22504,0,37,9445,7158,7097,303635,73584,35521,0,2444,79096,6383,129274,68,55,77,108,7271,0,78,0,1391,93593,2027,1586,7347,27459,145,32162,853,77411,3286,0,25,0,51,43,54,155,84,0,813,66811,
1507,46323,692,151,6959,2025,7,10,0,0,1339,0,1,0,1,0,0,0,734,111,247,991,880,238,134,0,22823,102,998,571,5704,1430,1685,0,0,0,38,37,88,212,136,72,64,0,65,53,336,0,47,29,39,40,286,2,33,2,6682,3,50,644,621,597,569,369,539,0,27,0,
199573,1220271,136282,30853,9155,0,14025,415517,231241,458337,2915,0,5311,330651,18882,391856,8120,359114,134263,28479,708,0,893168,213816,95588,0,174,0,143240,62444,1390392,342464,164842,0,10267,368358,20573,582670,108,46,60,0,55829,0,79,0,4399,387023,67601,28295,61801,132389,686,202782,2868,458923,10028,0,47,0,283,106,169,0,270,0,2450,303159,
52187,269317,52299,11851,5068,0,30,0,1572,1283,2093,0,1,35,2,41,0,0,13805,3783,748,325,238699,56661,25511,0,0,0,13590,5766,138011,33442,16572,0,0,0,23,25,142,92,49,49,2969,0,95,60,28,78,8065,3014,5677,14281,4,2,6,0,2655,1,27,48,292,187,371,175,246,0,15,43,
22972,830896,71158,16090,5780,0,25649,267671,117197,304386,15374,0,9608,216622,32923,251213,9893,231105,41874,10065,128,0,480054,114368,51152,0,2433,140872,16874,18550,717072,174483,84728,0,10383,229332,32849,391918,120,227,151,38,7345,0,8307,172940,7515,248353,1139,1264,3934,11387,1754,93296,25552,361613,62872,0,65,0,470,360,417,0,923,0,5422,221227,
19295,93561,9217,2077,812,0,613,14397,12487,14063,196,0,311,15413,741,15316,301,14397,3651,1093,69,88,48695,11647,5515,0,70,6512,1331,1237,54569,13258,6350,0,276,10968,733,19214,105,69,94,90,1350,0,85,11451,187,15770,358,297,1226,4670,1,3906,90,8516,934,0,18,83,90,41,104,87,151,0,106,8353,
291240,1668063,145432,33121,11336,0,22791,591482,27698,577849,2771,0,8657,462312,25129,549644,10236,504245,65925,19194,780,0,1196426,288445,128905,0,3555,277144,40207,45688,2254229,555725,264238,0,13586,512979,38147,830177,78,82,67,0,90493,0,7192,400619,6679,536208,12512,8193,39243,198852,1408,313291,8793,647366,8775,0,58,0,120,55,170,0,6809,0,3608,402469,
3188,71515,1239,280,10075,2903,7,10,0,0,637,0,6,0,2,0,0,0,1423,217,135,824,1073,203,74,0,56809,152,2035,1104,5991,1480,3049,0,0,0,46,72,146,383,359,116,168,0,109,59,137,1426,36,30,41,28,979,0,79,2,10038,2,85,1948,1041,522,752,409,502,0,10,21,
375936,1355146,104156,23492,9619,0,15795,445465,35395,381655,16626,0,6621,377341,23409,451872,8809,412637,82484,15130,14094,32042,926011,220838,99477,0,3140,328395,144067,60330,2051700,502675,235985,0,11322,409517,19414,622264,146,319,186,197,118928,0,118,0,6017,429107,49565,17906,18618,84913,2439,192964,8703,478492,23486,0,30,0,737,229,314,297,336,0,2746,284034,
237787,1293020,105851,23895,9120,0,20224,453792,151037,512157,12850,0,7795,352940,26399,423448,11767,387195,140187,24847,24847,38363,912786,218993,97025,0,2963,218211,90979,49512,2007516,490771,229870,0,12987,406487,25198,655878,93,279,67,0,127500,0,98,0,7509,430505,8213,3699,3885,19966,4357,233108,15658,575627,41191,0,37,0,515,340,350,338,308,0,3875,320463,
3795,77028,1103,259,8820,2547,3,3,0,0,2684,0,1,0,1,0,0,0,920,210,210,281,1457,317,147,0,64376,214,2382,1379,8305,2081,3875,0,0,0,23,37,135,123,234,175,118,0,43,42,356,1293,46,79,15,63,2,2,31,1,2295,2,50,508,712,471,469,266,361,0,21,0,
6288,32167,375,87,4893,1419,2,5,0,0,258,0,6,1,1,0,0,0,186,0,125,155,476,197,102,0,69,47,312,153,1574,392,254,0,0,0,48,18,38,105,63,91,59,0,49,38,33,67,52,107,60,49,2,1,3,1,141,2,56,37,161,110,208,133,193,0,26,6,
105349,545269,54552,12420,4908,0,8852,192953,14016,174808,1981,0,3808,156931,12025,180997,4961,167324,24603,7884,104,0,379841,89844,40299,0,885,71426,12864,13837,610895,148635,72278,0,4915,147664,12497,247206,69,228,160,106,5426,0,64,0,2844,165915,82,27,4315,18545,299,45164,2398,121799,2877,0,41,27,286,205,233,100,192,0,1163,95563,
35055,1276999,116454,26360,9227,0,37516,468867,259667,545412,20121,0,12634,368252,40847,432324,14840,392148,54049,14833,1143,0,615009,147449,64905,0,4591,251466,58771,36710,951046,233486,119443,0,14225,396471,39447,661767,173,304,262,121,2714,0,9094,289103,8848,423797,10916,5107,8986,17876,1327,135405,9463,543450,169447,0,256,0,868,551,584,418,180,0,6006,353911,
33904,360460,30777,7008,3026,0,3779,91400,31577,98193,449,0,1850,94750,5285,107632,2375,99165,19602,4597,223,0,235644,55915,24693,0,521,42946,31478,14473,358144,86660,42946,0,2392,87558,5753,150480,87,38,67,35,4164,0,1420,77338,1349,105647,6221,2738,4338,13167,27,0,1487,74791,3091,0,30,38,95,84,155,87,106,0,701,69353,
234308,1062809,109586,24831,10316,0,16411,443089,34201,451266,2494,0,6345,355300,21679,418890,9982,385422,78595,22566,1639,0,874058,208874,94393,0,1950,200058,212248,84616,1498652,367941,181995,0,11027,396777,23184,604177,71,265,44,0,25198,0,5182,282145,5466,409531,112247,43452,66608,152855,747,0,4083,438206,24841,0,55,0,380,287,395,291,2649,0,3038,322855,
2940,56611,973,229,8222,2394,3,2,0,0,2258,0,2,3,4,0,0,0,493,137,220,0,1068,239,167,0,37003,124,1750,972,6602,1689,3233,0,0,0,22,30,110,193,245,98,36,0,88,34,266,739,45,28,120,50,69,35,21,3,4074,1,71,270,802,579,538,339,423,0,21,20,
88619,544276,108841,24582,5376,0,9163,198207,140914,201378,2208,0,3640,174817,11108,200879,4602,185834,39054,12503,627,0,460723,109803,48397,0,1252,95711,20067,19558,693058,168655,84043,0,5258,179567,13477,280322,71,167,155,85,9430,0,100,0,2922,202045,54,0,10363,45556,43,519,1717,189944,4059,0,26,0,59,93,57,46,116,0,1539,143984,
91805,454394,76011,17130,3660,0,10951,133448,17648,125407,1632,0,5102,125324,12325,141592,6191,130499,25475,8232,312,0,340769,80761,35856,0,2117,66662,12830,12531,532603,129600,62670,0,3997,122329,11304,197320,113,78,72,54,5086,0,193,0,3342,142871,29,49,3002,12935,86,0,2829,104362,3488,0,25,26,237,132,163,114,56,0,1461,86614,
